Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12",0805,2,10uF,
"C10, C11, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C28, C29, C3, C30, C31, C37, C38, C39, C4, C40, C7, C8, C9",0402,26,100nF,
"C13, C14",0402,2,18pF,
"C2, C5",0805,2,22uF,
"C27, C32",0603,2,1uF,
C36,1210,1,1nF 2kV,
C6,0402,1,33pF,
"D1, D2",DFN-10L_L2.5-W1.0-P0.50-BL,2,RCLAMP0524P-N,C316044
D3,0603,1,LED,
L1,XFMR-SMD_HY602401,1,HY602401,C55685
"L2, L3",IND-SMD_L3.5-W3.0,2,2.2uH,
R1,0402,1,124k,
"R10, R11, R12, R9",0402,4,75R,
R13,0402,1,2.49K,
"R14, R15, R16, R17, R18, R19",0402,6,4.7K,
"R2, R3",0402,2,10k,
R20,0402,1,220R,
"R4, R7",0402,2,180k,
R5,0402,1,280k,
R6,0402,1,910k,
R8,0402,1,1.8M,
U1,QFN-56_L6.0-W6.0-P0.35--TL-EP4.7,1,RTL8156BG-CG,C41376388
U2,MQFN-28_L4.5-W3.5-P0.40-BL-EP,1,VL162,C19270896
U3,RJ45-SMD_HC-RJ45-055-7_1,1,HC-RJ45-055-7,C3000213
U4,VSON-10_L3.0-W3.0-P0.50-TL-EP,1,TPS62420DRCR,C74233
U5,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q16BVSSIG,
USB1,USB-C-SMD_TYPEC-324-BCP24,1,TYPEC-324-BCP24,C2835314
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25Mhz,
