Designator,Mid X,Mid Y,Rotation,Layer
C1,118.996404,-100.760559,0.0,bottom
C10,132.052658,-87.904437,270.0,top
C11,133.08143,-87.905991,270.0,top
C12,130.50364,-87.134437,270.0,top
C13,144.018987,-102.019342,90.0,top
C14,138.532177,-102.193255,90.0,top
C16,144.759392,-101.524811,90.0,bottom
C17,145.072154,-95.921657,180.0,bottom
C18,145.401681,-93.649531,180.0,bottom
C19,142.723659,-98.644573,90.0,bottom
C2,134.600236,-97.89463,90.0,bottom
C20,134.678402,-94.423946,270.0,bottom
C21,136.265247,-94.312374,270.0,bottom
C22,143.152844,-91.867878,90.0,bottom
C23,139.061144,-91.661532,90.0,bottom
C24,144.141425,-91.883695,90.0,bottom
C25,144.942804,-98.196217,90.0,bottom
C26,147.769002,-91.445655,0.0,bottom
C27,138.040971,-96.686308,0.0,bottom
C28,147.824363,-93.10647,0.0,bottom
C29,138.644101,-98.415711,270.0,bottom
C3,127.723267,-91.845022,0.0,top
C30,140.282772,-97.883737,270.0,bottom
C31,141.15137,-91.729487,90.0,bottom
C32,139.559394,-101.016564,90.0,bottom
C36,156.398509,-101.781177,0.0,bottom
C37,152.766943,-85.2946,180.0,bottom
C38,152.760392,-89.146436,180.0,bottom
C39,152.635928,-92.906562,180.0,bottom
C4,127.723267,-90.862281,0.0,top
C40,152.683943,-96.751129,180.0,bottom
C5,135.118692,-103.078653,90.0,bottom
C6,122.67503,-103.951239,270.0,bottom
C7,127.675406,-92.939439,0.0,top
C8,127.680192,-93.9158,0.0,top
C9,135.48047,-90.080767,90.0,top
D1,124.747347,-92.114417,0.0,top
D2,124.806061,-95.670961,180.0,top
D3,133.154279,-93.803755,90.0,bottom
L1,157.052616,-92.248398,270.0,top
L2,131.405107,-102.478356,0.0,bottom
L3,131.402417,-98.698437,0.0,bottom
R1,130.034796,-97.248481,90.0,top
R10,160.826115,-92.880358,0.0,bottom
R11,160.925583,-96.819298,0.0,bottom
R12,160.854344,-84.888398,0.0,bottom
R13,143.402688,-99.608437,0.0,top
R14,137.55899,-100.111793,0.0,top
R15,137.55666,-99.123762,0.0,top
R16,136.154534,-101.839391,90.0,top
R17,141.41061,-88.344983,180.0,top
R18,141.409286,-89.326194,180.0,top
R19,135.306517,-98.103954,270.0,top
R2,133.343888,-90.070529,90.0,top
R20,134.480083,-91.023463,180.0,bottom
R3,134.469135,-90.046486,90.0,top
R4,123.667127,-103.965592,90.0,bottom
R5,122.37255,-102.416776,0.0,bottom
R6,125.714989,-97.805359,0.0,bottom
R7,123.621569,-97.790253,0.0,bottom
R8,124.711184,-103.96177,90.0,bottom
R9,160.905931,-89.458398,0.0,bottom
U1,140.448388,-95.050457,180.0,top
U2,131.845023,-93.613986,270.0,top
U3,175.410981,-94.687771,90.0,top
U4,124.933632,-100.538181,180.0,bottom
U5,141.915765,-88.023011,180.0,bottom
USB1,115.99096,-94.379994,270.0,top
Y1,141.337722,-101.942949,0.0,top
